exercise_id,equipment_id
dumbbell-bench-press-flat,2
dumbbell-bench-press-flat,13
barbell-bench-press,3
barbell-bench-press,13
push-ups,1
incline-dumbbell-press,2
incline-dumbbell-press,14
dips-chest-focus,11
machine-chest-press-plate-loaded,25
smith-machine-bench-press,22
decline-dumbbell-press,2
decline-dumbbell-press,13
push-ups-on-handles,47
dumbbell-fly-flat-bench,2
dumbbell-fly-flat-bench,13
dumbbell-fly-floor,2
dumbbell-fly-incline-bench,2
dumbbell-fly-incline-bench,13
dumbbell-fly-incline-bench,61
cable-fly-flat,13
cable-fly-flat,63
cable-fly-standing,63
pec-deck-fly,28
cable-crossover-low-to-high,63
dumbbell-pullover,2
dumbbell-pullover,13
resistance-band-fly,6
incline-barbell-bench-press,3
incline-barbell-bench-press,61
decline-barbell-bench-press,3
decline-barbell-bench-press,64
close-grip-push-ups,1
wide-grip-push-ups,1
decline-push-ups,1
decline-push-ups,13
incline-push-ups,1
incline-push-ups,13
plyometric-push-ups,1
ring-push-ups,49
dumbbell-press-neutral-grip,2
dumbbell-press-neutral-grip,13
smith-machine-incline-bench-press,22
smith-machine-incline-bench-press,61
smith-machine-decline-bench-press,22
smith-machine-decline-bench-press,64
cable-crossover-high-to-low,63
one-arm-push-up,1
hammer-chest-press-one-arm,25
cable-pullover,21
cable-pullover,13
dumbbell-fly-decline-bench,2
dumbbell-fly-decline-bench,64
weighted-push-ups,1
weighted-push-ups,46
weighted-push-ups,59
dumbbell-bench-press-alternating-floor,2
alternating-dumbbell-bench-press,2
alternating-dumbbell-bench-press,13
incline-alternating-dumbbell-press,2
incline-alternating-dumbbell-press,61
svend-press,65
neutral-grip-barbell-bench-press,34
neutral-grip-barbell-bench-press,13
kettlebell-floor-press,4
landmine-press,44
landmine-press,65
trx-push-ups,7
diamond-push-ups,1
push-ups-with-pause,1
archer-push-ups,1
barbell-floor-press,3
hammer-strength-chest-press,25
hammer-strength-chest-press,65
incline-hammer-strength-press,25
incline-hammer-strength-press,65
standing-cable-crossover-press,63
explosive-medicine-ball-press,8
pull-ups-wide-grip,12
pull-ups-medium-grip,12
pull-ups-close-grip,12
pull-ups-underhand-grip,12
pull-ups-neutral-grip,12
pull-ups-archer,12
pull-ups-one-arm,12
pull-ups-weighted,12
pull-ups-weighted,59
pull-ups-l-sit,12
pull-ups-behind-neck,12
explosive-pull-ups,12
scapular-retraction-hang,12
dead-hang,12
chest-to-bar-pull-ups,12
muscle-up,12
muscle-up,49
pull-ups-rings,49
pull-ups-rings-wide-grip,49
trx-row-standing,7
trx-pull-ups-assisted,7
lat-pulldown-wide-grip,24
lat-pulldown-medium-grip,24
lat-pulldown-close-grip,24
lat-pulldown-underhand-grip,24
lat-pulldown-neutral-grip,24
lat-pulldown-behind-neck,24
lat-pulldown-straight-arm,24
lat-pulldown-one-arm,24
lat-pulldown-wide-grip-chest,24
cable-pulldown-standing,63
cable-pulldown-seated,63
australian-pull-ups,12
australian-pull-ups-feet-elevated,12
australian-pull-ups-feet-elevated,13
australian-pull-ups-underhand-grip,12
dumbbell-one-arm-row,2
dumbbell-one-arm-row,13
dumbbell-bent-over-row,2
dumbbell-incline-bench-row,2
dumbbell-incline-bench-row,61
plank-row,2
barbell-bent-over-row,3
barbell-bent-over-row-underhand,3
yates-row,3
pendlay-row,3
ez-bar-bent-over-row,31
swiss-bar-row,34
cable-seated-row,21
cable-standing-row,21
cable-one-arm-row,21
cable-wide-grip-row,21
cable-close-grip-row,21
cable-horizontal-row-underhand-grip,21
cable-horizontal-row-neutral-grip,21
cable-crossover-row-high,63
cable-crossover-row-low,63
cable-horizontal-row-kneeling,21
hammer-strength-row,66
t-bar-row-machine,67
trx-row,7
trx-row-wide-grip,7
trx-row-close-grip,7
trx-row-archer,7
