exercise_id,unit_id
dumbbell-bench-press-flat,1
dumbbell-bench-press-flat,9
barbell-bench-press,1
barbell-bench-press,9
push-ups,9
incline-dumbbell-press,1
incline-dumbbell-press,9
dips-chest-focus,9
machine-chest-press-plate-loaded,1
machine-chest-press-plate-loaded,9
smith-machine-bench-press,1
smith-machine-bench-press,9
decline-dumbbell-press,1
decline-dumbbell-press,9
push-ups-on-handles,9
dumbbell-fly-flat-bench,1
dumbbell-fly-flat-bench,9
dumbbell-fly-flat-bench,10
dumbbell-fly-floor,1
dumbbell-fly-floor,9
dumbbell-fly-floor,10
dumbbell-fly-incline-bench,1
dumbbell-fly-incline-bench,9
dumbbell-fly-incline-bench,10
cable-fly-flat,1
cable-fly-flat,9
cable-fly-flat,10
cable-fly-standing,1
cable-fly-standing,9
cable-fly-standing,10
pec-deck-fly,1
pec-deck-fly,9
pec-deck-fly,10
cable-crossover-low-to-high,1
cable-crossover-low-to-high,9
cable-crossover-low-to-high,10
dumbbell-pullover,1
dumbbell-pullover,9
dumbbell-pullover,10
resistance-band-fly,1
resistance-band-fly,9
resistance-band-fly,10
incline-barbell-bench-press,1
incline-barbell-bench-press,9
decline-barbell-bench-press,1
decline-barbell-bench-press,9
close-grip-push-ups,9
wide-grip-push-ups,9
wide-grip-push-ups,10
decline-push-ups,9
decline-push-ups,10
incline-push-ups,9
incline-push-ups,10
plyometric-push-ups,9
plyometric-push-ups,10
ring-push-ups,9
ring-push-ups,10
dumbbell-press-neutral-grip,1
dumbbell-press-neutral-grip,2
dumbbell-press-neutral-grip,9
dumbbell-press-neutral-grip,10
smith-machine-incline-bench-press,1
smith-machine-incline-bench-press,2
smith-machine-decline-bench-press,1
smith-machine-decline-bench-press,9
smith-machine-decline-bench-press,10
cable-crossover-high-to-low,1
cable-crossover-high-to-low,9
cable-crossover-high-to-low,10
one-arm-push-up,9
one-arm-push-up,10
hammer-chest-press-one-arm,1
hammer-chest-press-one-arm,2
hammer-chest-press-one-arm,9
cable-pullover,1
cable-pullover,9
dumbbell-fly-decline-bench,1
dumbbell-fly-decline-bench,9
cable-pullover,10
weighted-push-ups,1
weighted-push-ups,2
weighted-push-ups,9
weighted-push-ups,10
dumbbell-bench-press-alternating-floor,1
dumbbell-bench-press-alternating-floor,9
alternating-dumbbell-bench-press,1
alternating-dumbbell-bench-press,2
alternating-dumbbell-bench-press,9
incline-alternating-dumbbell-press,1
incline-alternating-dumbbell-press,9
svend-press,1
svend-press,9
neutral-grip-barbell-bench-press,1
neutral-grip-barbell-bench-press,9
neutral-grip-barbell-bench-press,10
kettlebell-floor-press,1
kettlebell-floor-press,2
kettlebell-floor-press,9
landmine-press,1
landmine-press,2
landmine-press,9
trx-push-ups,9
trx-push-ups,10
diamond-push-ups,9
diamond-push-ups,10
push-ups-with-pause,9
push-ups-with-pause,10
archer-push-ups,9
archer-push-ups,10
barbell-floor-press,1
barbell-floor-press,2
barbell-floor-press,9
hammer-strength-chest-press,1
hammer-strength-chest-press,9
standing-cable-crossover-press,1
standing-cable-crossover-press,9
standing-cable-crossover-press,10
incline-hammer-strength-press,1
incline-hammer-strength-press,9
explosive-medicine-ball-press,1
explosive-medicine-ball-press,9
explosive-medicine-ball-press,10
pull-ups-wide-grip,9
pull-ups-wide-grip,10
pull-ups-medium-grip,9
pull-ups-medium-grip,10
pull-ups-close-grip,9
pull-ups-close-grip,10
pull-ups-underhand-grip,9
pull-ups-underhand-grip,10
pull-ups-neutral-grip,9
pull-ups-neutral-grip,10
pull-ups-archer,9
pull-ups-archer,10
pull-ups-one-arm,9
pull-ups-one-arm,10
pull-ups-weighted,1
pull-ups-weighted,9
pull-ups-weighted,10
pull-ups-l-sit,9
pull-ups-l-sit,10
pull-ups-behind-neck,9
pull-ups-behind-neck,10
explosive-pull-ups,9
explosive-pull-ups,10
scapular-retraction-hang,3
scapular-retraction-hang,9
dead-hang,3
chest-to-bar-pull-ups,9
chest-to-bar-pull-ups,10
muscle-up,9
muscle-up,10
pull-ups-rings,9
pull-ups-rings,10
pull-ups-rings-wide-grip,9
pull-ups-rings-wide-grip,10
trx-row-standing,9
trx-row-standing,10
trx-pull-ups-assisted,9
trx-pull-ups-assisted,10
lat-pulldown-wide-grip,1
lat-pulldown-wide-grip,9
lat-pulldown-medium-grip,1
lat-pulldown-medium-grip,9
lat-pulldown-close-grip,1
lat-pulldown-close-grip,9
lat-pulldown-underhand-grip,1
lat-pulldown-underhand-grip,9
lat-pulldown-neutral-grip,1
lat-pulldown-neutral-grip,9
lat-pulldown-behind-neck,1
lat-pulldown-behind-neck,9
lat-pulldown-straight-arm,1
lat-pulldown-straight-arm,9
lat-pulldown-one-arm,1
lat-pulldown-one-arm,9
lat-pulldown-wide-grip-chest,1
lat-pulldown-wide-grip-chest,9
cable-pulldown-standing,1
cable-pulldown-standing,9
cable-pulldown-seated,1
cable-pulldown-seated,9
australian-pull-ups,9
australian-pull-ups-feet-elevated,9
australian-pull-ups-underhand-grip,9
dumbbell-one-arm-row,1
dumbbell-one-arm-row,9
dumbbell-bent-over-row,1
dumbbell-bent-over-row,9
dumbbell-incline-bench-row,1
dumbbell-incline-bench-row,9
plank-row,1
plank-row,9
