exercise_id,skill_id
dumbbell-bench-press-flat,5
dumbbell-bench-press-flat,9
barbell-bench-press,5
barbell-bench-press,9
push-ups,7
push-ups,5
push-ups,9
incline-dumbbell-press,5
incline-dumbbell-press,9
dips-chest-focus,5
dips-chest-focus,9
machine-chest-press-plate-loaded,5
machine-chest-press-plate-loaded,9
smith-machine-bench-press,5
smith-machine-bench-press,9
decline-dumbbell-press,5
decline-dumbbell-press,9
push-ups-on-handles,7
push-ups-on-handles,5
push-ups-on-handles,9
dumbbell-fly-flat-bench,5
dumbbell-fly-flat-bench,9
dumbbell-fly-flat-bench,10
dumbbell-fly-floor,5
dumbbell-fly-floor,9
dumbbell-fly-floor,10
dumbbell-fly-incline-bench,5
dumbbell-fly-incline-bench,9
dumbbell-fly-incline-bench,10
cable-fly-flat,5
cable-fly-flat,9
cable-fly-flat,10
cable-fly-standing,5
cable-fly-standing,9
cable-fly-standing,10
cable-fly-standing,1
cable-fly-standing,2
pec-deck-fly,5
pec-deck-fly,9
pec-deck-fly,10
cable-crossover-low-to-high,5
cable-crossover-low-to-high,9
cable-crossover-low-to-high,10
cable-crossover-low-to-high,1
cable-crossover-low-to-high,2
dumbbell-pullover,5
dumbbell-pullover,9
dumbbell-pullover,10
dumbbell-pullover,3
dumbbell-pullover,4
resistance-band-fly,5
resistance-band-fly,9
resistance-band-fly,10
resistance-band-fly,1
resistance-band-fly,2
decline-barbell-bench-press,5
decline-barbell-bench-press,9
wide-grip-push-ups,7
wide-grip-push-ups,5
wide-grip-push-ups,9
wide-grip-push-ups,10
decline-push-ups,7
decline-push-ups,5
ring-push-ups,7
ring-push-ups,5
ring-push-ups,9
smith-machine-incline-bench-press,5
smith-machine-incline-bench-press,9
smith-machine-decline-bench-press,5
smith-machine-decline-bench-press,9
one-arm-push-up,7
one-arm-push-up,5
dumbbell-fly-decline-bench,5
dumbbell-fly-decline-bench,9
dumbbell-fly-decline-bench,10
weighted-push-ups,7
weighted-push-ups,5
weighted-push-ups,9
alternating-dumbbell-bench-press,5
alternating-dumbbell-bench-press,9
incline-alternating-dumbbell-press,5
incline-alternating-dumbbell-press,9
svend-press,5
svend-press,9
svend-press,10
trx-push-ups,1
trx-push-ups,5
trx-push-ups,7
archer-push-ups,5
archer-push-ups,7
archer-push-ups,9
barbell-floor-press,5
barbell-floor-press,9
hammer-strength-chest-press,5
hammer-strength-chest-press,9
standing-cable-crossover-press,5
standing-cable-crossover-press,7
standing-cable-crossover-press,9
incline-hammer-strength-press,5
incline-hammer-strength-press,9
explosive-medicine-ball-press,5
explosive-medicine-ball-press,7
explosive-medicine-ball-press,9
pull-ups-wide-grip,4
pull-ups-wide-grip,5
pull-ups-wide-grip,9
pull-ups-wide-grip,10
pull-ups-medium-grip,4
pull-ups-medium-grip,5
pull-ups-medium-grip,9
pull-ups-medium-grip,10
pull-ups-close-grip,4
pull-ups-close-grip,5
pull-ups-close-grip,9
pull-ups-close-grip,10
pull-ups-underhand-grip,4
pull-ups-underhand-grip,5
pull-ups-underhand-grip,9
pull-ups-underhand-grip,10
pull-ups-neutral-grip,4
pull-ups-neutral-grip,5
pull-ups-neutral-grip,9
pull-ups-neutral-grip,10
pull-ups-archer,4
pull-ups-archer,5
pull-ups-archer,9
pull-ups-archer,10
pull-ups-one-arm,4
pull-ups-one-arm,5
pull-ups-one-arm,9
pull-ups-one-arm,10
pull-ups-weighted,4
pull-ups-weighted,5
pull-ups-weighted,9
pull-ups-weighted,10
pull-ups-l-sit,4
pull-ups-l-sit,5
pull-ups-l-sit,9
pull-ups-l-sit,10
pull-ups-behind-neck,4
pull-ups-behind-neck,5
pull-ups-behind-neck,9
pull-ups-behind-neck,10
