exercise_id,tag_id
dumbbell-bench-press-flat,1
dumbbell-bench-press-flat,5
dumbbell-bench-press-flat,8
barbell-bench-press,5
barbell-bench-press,8
push-ups,1
push-ups,2
push-ups,4
push-ups,5
push-ups,8
incline-dumbbell-press,1
incline-dumbbell-press,5
incline-dumbbell-press,8
dips-chest-focus,5
dips-chest-focus,8
dips-chest-focus,9
machine-chest-press-plate-loaded,1
machine-chest-press-plate-loaded,5
machine-chest-press-plate-loaded,8
machine-chest-press-plate-loaded,10
smith-machine-bench-press,1
smith-machine-bench-press,5
smith-machine-bench-press,8
smith-machine-bench-press,10
decline-dumbbell-press,1
decline-dumbbell-press,5
decline-dumbbell-press,8
push-ups-on-handles,1
push-ups-on-handles,2
push-ups-on-handles,4
push-ups-on-handles,5
push-ups-on-handles,8
dumbbell-fly-flat-bench,5
dumbbell-fly-flat-bench,8
dumbbell-fly-floor,5
dumbbell-fly-floor,8
dumbbell-fly-floor,1
dumbbell-fly-floor,2
dumbbell-fly-incline-bench,5
dumbbell-fly-incline-bench,8
dumbbell-fly-incline-bench,11
cable-fly-flat,5
cable-fly-flat,8
cable-fly-flat,11
cable-fly-flat,12
cable-fly-flat,13
cable-fly-standing,5
cable-fly-standing,8
cable-fly-standing,11
cable-fly-standing,12
cable-fly-standing,13
pec-deck-fly,5
pec-deck-fly,8
pec-deck-fly,11
pec-deck-fly,13
cable-crossover-low-to-high,5
cable-crossover-low-to-high,8
cable-crossover-low-to-high,11
cable-crossover-low-to-high,12
cable-crossover-low-to-high,13
dumbbell-pullover,5
dumbbell-pullover,8
dumbbell-pullover,11
resistance-band-fly,5
resistance-band-fly,8
resistance-band-fly,11
resistance-band-fly,2
resistance-band-fly,1
incline-barbell-bench-press,5
incline-barbell-bench-press,8
incline-barbell-bench-press,13
decline-barbell-bench-press,5
decline-barbell-bench-press,8
decline-barbell-bench-press,13
close-grip-push-ups,1
close-grip-push-ups,2
close-grip-push-ups,4
close-grip-push-ups,5
close-grip-push-ups,8
wide-grip-push-ups,1
wide-grip-push-ups,2
wide-grip-push-ups,4
wide-grip-push-ups,5
wide-grip-push-ups,8
decline-push-ups,2
decline-push-ups,5
decline-push-ups,8
decline-push-ups,14
decline-push-ups,15
decline-push-ups,16
incline-push-ups,1
incline-push-ups,2
incline-push-ups,4
incline-push-ups,5
incline-push-ups,8
incline-push-ups,14
plyometric-push-ups,15
